Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753672709183,-1,-1,-1,-1
1753672709183,-1,-1,-1,-1
1753672710184,-1,-1,-1,-1
1753672710184,-1,-1,-1,-1
1753672711185,-1,-1,-1,-1
1753672711185,-1,-1,-1,-1
1753672712185,-1,-1,-1,-1
1753672712185,-1,-1,-1,-1
1753672713186,-1,-1,-1,-1
1753672713186,-1,-1,-1,-1
1753672714186,-1,-1,-1,-1
1753672714186,-1,-1,-1,-1
1753672715187,-1,-1,-1,-1
1753672715187,-1,-1,-1,-1
1753672716188,-1,-1,-1,-1
1753672716188,-1,-1,-1,-1
1753672717188,-1,-1,-1,-1
1753672717188,-1,-1,-1,-1
1753672718189,-1,-1,-1,-1
1753672718189,-1,-1,-1,-1
1753672719190,-1,-1,-1,-1
1753672719190,-1,-1,-1,-1
1753672720191,-1,-1,-1,-1
1753672720191,-1,-1,-1,-1
1753672721191,-1,-1,-1,-1
1753672721192,-1,-1,-1,-1
1753672722192,-1,-1,-1,-1
1753672722192,-1,-1,-1,-1
1753672723193,-1,-1,-1,-1
1753672723193,-1,-1,-1,-1
1753672724194,-1,-1,-1,-1
1753672724194,-1,-1,-1,-1
1753672725194,-1,-1,-1,-1
1753672725194,-1,-1,-1,-1
1753672726195,-1,-1,-1,-1
1753672726195,-1,-1,-1,-1
1753672727196,-1,-1,-1,-1
1753672727196,-1,-1,-1,-1
1753672728197,-1,-1,-1,-1
1753672728197,-1,-1,-1,-1
1753672729198,-1,-1,-1,-1
1753672729198,-1,-1,-1,-1
1753672730199,-1,-1,-1,-1
1753672730199,-1,-1,-1,-1
1753672731201,-1,-1,-1,-1
1753672731203,-1,-1,-1,-1
1753672732201,-1,-1,-1,-1
1753672732201,-1,-1,-1,-1
1753672733202,-1,-1,-1,-1
1753672733202,-1,-1,-1,-1
1753672734203,-1,-1,-1,-1
1753672734203,-1,-1,-1,-1
1753672735204,-1,-1,-1,-1
1753672735204,-1,-1,-1,-1
1753672736204,-1,-1,-1,-1
1753672736204,-1,-1,-1,-1
1753672737205,-1,-1,-1,-1
1753672737205,-1,-1,-1,-1
1753672738206,-1,-1,-1,-1
1753672738207,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679158781,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679158782,-1,-1,-1,-1
1753679159782,-1,-1,-1,-1
1753679159782,-1,-1,-1,-1
1753679160783,-1,-1,-1,-1
1753679160783,-1,-1,-1,-1
1753679161784,-1,-1,-1,-1
1753679161784,-1,-1,-1,-1
1753679162784,-1,-1,-1,-1
1753679162784,-1,-1,-1,-1
1753679163785,-1,-1,-1,-1
1753679163785,-1,-1,-1,-1
1753679164786,-1,-1,-1,-1
1753679164786,-1,-1,-1,-1
1753679165787,-1,-1,-1,-1
1753679165787,-1,-1,-1,-1
1753679166787,-1,-1,-1,-1
1753679166787,-1,-1,-1,-1
1753679167788,-1,-1,-1,-1
1753679167788,-1,-1,-1,-1
1753679168789,-1,-1,-1,-1
1753679168789,-1,-1,-1,-1
1753679169790,-1,-1,-1,-1
1753679169790,-1,-1,-1,-1
1753679170791,-1,-1,-1,-1
1753679170791,-1,-1,-1,-1
1753679171792,-1,-1,-1,-1
1753679171792,-1,-1,-1,-1
1753679172792,-1,-1,-1,-1
1753679172793,-1,-1,-1,-1
1753679173793,-1,-1,-1,-1
1753679173794,-1,-1,-1,-1
1753679174794,-1,-1,-1,-1
1753679174794,-1,-1,-1,-1
1753679175795,-1,-1,-1,-1
1753679175795,-1,-1,-1,-1
1753679176796,-1,-1,-1,-1
1753679176796,-1,-1,-1,-1
1753679177797,-1,-1,-1,-1
1753679177800,-1,-1,-1,-1
1753679178798,-1,-1,-1,-1
1753679178802,-1,-1,-1,-1
1753679179799,-1,-1,-1,-1
1753679179804,-1,-1,-1,-1
1753679180804,-1,-1,-1,-1
1753679180805,-1,-1,-1,-1
1753679181805,-1,-1,-1,-1
1753679181809,-1,-1,-1,-1
1753679182813,-1,-1,-1,-1
1753679182828,-1,-1,-1,-1
1753679183814,-1,-1,-1,-1
1753679183819,-1,-1,-1,-1
1753679184818,-1,-1,-1,-1
1753679184822,-1,-1,-1,-1
1753679185819,-1,-1,-1,-1
1753679185824,-1,-1,-1,-1
1753679186822,-1,-1,-1,-1
1753679186827,-1,-1,-1,-1
1753679187824,-1,-1,-1,-1
1753679187827,-1,-1,-1,-1
1753679188826,-1,-1,-1,-1
1753679188829,-1,-1,-1,-1
1753679189827,-1,-1,-1,-1
1753679189831,-1,-1,-1,-1
1753679190831,-1,-1,-1,-1
1753679190832,-1,-1,-1,-1
1753679191833,-1,-1,-1,-1
1753679191848,-1,-1,-1,-1
1753679192835,-1,-1,-1,-1
1753679192850,-1,-1,-1,-1
1753679193837,-1,-1,-1,-1
1753679193851,-1,-1,-1,-1
1753679194838,-1,-1,-1,-1
1753679194854,-1,-1,-1,-1
1753679195839,-1,-1,-1,-1
1753679195855,-1,-1,-1,-1
1753679196840,-1,-1,-1,-1
1753679196856,-1,-1,-1,-1
1753679197842,-1,-1,-1,-1
1753679197857,-1,-1,-1,-1
1753679198843,-1,-1,-1,-1
1753679198859,-1,-1,-1,-1
1753679199845,-1,-1,-1,-1
1753679199860,-1,-1,-1,-1
1753679200846,-1,-1,-1,-1
1753679200862,-1,-1,-1,-1
1753679201847,-1,-1,-1,-1
1753679201863,-1,-1,-1,-1
1753679202849,-1,-1,-1,-1
1753679202866,-1,-1,-1,-1
1753679203849,-1,-1,-1,-1
1753679203867,-1,-1,-1,-1
1753679204850,-1,-1,-1,-1
1753679204869,-1,-1,-1,-1
1753679205851,-1,-1,-1,-1
1753679205870,-1,-1,-1,-1
1753679206852,-1,-1,-1,-1
1753679206871,-1,-1,-1,-1
1753679207853,-1,-1,-1,-1
1753679207872,-1,-1,-1,-1
1753679208854,-1,-1,-1,-1
1753679208874,-1,-1,-1,-1
1753679209855,-1,-1,-1,-1
1753679209875,-1,-1,-1,-1
1753679210856,-1,-1,-1,-1
1753679210877,-1,-1,-1,-1
1753679211857,-1,-1,-1,-1
1753679211879,-1,-1,-1,-1
1753679212859,-1,-1,-1,-1
1753679212880,-1,-1,-1,-1
1753679213859,-1,-1,-1,-1
1753679213881,-1,-1,-1,-1
1753679214861,-1,-1,-1,-1
1753679214882,-1,-1,-1,-1
1753679215862,-1,-1,-1,-1
1753679215884,-1,-1,-1,-1
1753679216863,-1,-1,-1,-1
1753679216884,-1,-1,-1,-1
1753679217864,-1,-1,-1,-1
1753679217886,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679318663,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
