4282	161	0	2.000000
4283	161	0	2.000000
4284	0	0	1.000000
4285	0	0	1.000000
4286	349	0	2.000000
4287	161	0	2.000000
4288	113	0	2.000000
4291	0	0	1.000000
4292	399	0	2.000000
4295	322	0	2.000000
4297	161	0	2.000000
4298	0	0	1.000000
4299	0	0	1.000000
4300	161	0	2.000000
4301	0	0	1.000000
4302	0	0	1.000000
4305	322	0	2.000000
4311	0	0	1.000000
4312	311	0	2.000000
4330	15	0	2.000000
4331	57	0	2.000000
4332	57	0	2.000000
4333	57	0	2.000000
4334	57	0	2.000000
4335	57	0	2.000000
4336	57	0	2.000000
4337	57	0	2.000000
4338	57	0	2.000000
4339	57	0	2.000000
4340	57	0	2.000000
4341	57	0	2.000000
4342	57	0	2.000000
4343	57	0	2.000000
4344	57	0	2.000000
4345	57	0	2.000000
4346	57	0	2.000000
4347	57	0	2.000000
4348	57	0	2.000000
4349	171	107	1.598131
4352	0	0	1.000000
4353	0	0	1.000000
4354	0	0	1.000000
4355	0	0	1.000000
4356	349	0	2.000000
4394	325	0	2.000000
4434	373	0	2.000000
4474	1692	1326	1.276018
4482	349	0	2.000000
4487	317	0	2.000000
4492	325	0	2.000000
4497	325	0	2.000000
4502	698	0	2.000000
4507	349	0	2.000000
4511	0	0	1.000000
4512	373	0	2.000000
4517	357	515	0.693204
4522	1884	1552	1.213918
4527	317	1552	0.204253
4532	285	0	2.000000
4537	325	0	2.000000
4542	317	0	2.000000
4547	373	0	2.000000
4552	2934	2490	1.178313
4557	1545	3413	0.452681
4562	405	274	1.478102
4565	0	0	1.000000
4567	349	0	2.000000
4572	674	0	2.000000
4577	325	0	2.000000
4579	0	0	1.000000
4582	349	0	2.000000
4587	642	10	64.200000
4592	325	107	3.037383
4595	0	0	1.000000
4597	349	0	2.000000
4602	698	0	2.000000
4607	325	0	2.000000
4609	0	0	1.000000
4612	325	0	2.000000
4617	325	0	2.000000
4622	349	0	2.000000
4627	325	0	2.000000
4632	317	0	2.000000
4637	722	0	2.000000
4642	405	0	2.000000
4643	0	0	1.000000
4647	405	0	2.000000
4652	285	0	2.000000
4657	349	0	2.000000
4662	325	0	2.000000
4667	325	0	2.000000
4672	778	0	2.000000
4677	357	0	2.000000
4681	0	0	1.000000
4682	325	0	2.000000
4687	349	0	2.000000
4692	317	0	2.000000
4697	373	0	2.000000
4702	650	0	2.000000
4711	0	0	1.000000
4712	325	0	2.000000
4717	349	0	2.000000
4722	349	0	2.000000
4727	349	0	2.000000
4732	325	0	2.000000
4737	405	0	2.000000
4742	373	0	2.000000
4747	349	0	2.000000
4752	349	0	2.000000
