SFN,supply_bytes_grant,supply_bytes_pusch,demand_bytes,ratio_grant,ratio_pusch,smoothed_ratio_grant,smoothed_ratio_pusch
3,,113.0,150000.0,,1327.4336283185842,,1327.4336283185842
3,,113.0,150000.0,,1327.4336283185842,,1327.4336283185842
4,,373.0,150000.0,,402.1447721179625,,1019.0040095850436
6,,133.0,150000.0,,1127.8195488721803,,1046.2078944068278
11,,157.0,150000.0,,955.4140127388536,,1028.0491180732329
17,,79.0,150000.0,,1898.73417721519,,1173.1632945968925
18,,85.0,150000.0,,1764.7058823529412,,1257.6693785620423
19,,193.0,150000.0,,777.2020725388601,,1197.6109653091446
20,,177.0,150000.0,,847.457627118644,,1158.7050388435334
21,,69.0,150000.0,,2173.913043478261,,1260.225839307006
24,,97.0,150000.0,,1546.3917525773195,,1286.2409223315801
24,,125.0,150000.0,,1200.0,,1279.0541788039484
25,,18.0,150000.0,,8333.333333333334,,1821.6910368446702
26,,349.0,150000.0,,429.7994269340974,,1722.2702075653435
27,,253.0,150000.0,,592.8853754940711,,1646.9778854272588
27,,249.0,150000.0,,602.4096385542168,,1581.6923699976937
28,,75.0,150000.0,,2000.0,,1606.2987011743
28,,373.0,150000.0,,402.1447721179625,,1539.4012606711701
30,,55.0,150000.0,,2727.2727272727275,,1601.9208115449362
32,,87.0,150000.0,,1724.1379310344828,,1608.0316675194135
33,,51.0,150000.0,,2941.176470588235,,1688.7188096328962
42,,161.0,150000.0,,931.6770186335403,,1668.9309791486442
43,,177.0,150000.0,,847.457627118644,,1691.1966218986777
44,,201.0,150000.0,,746.2686567164179,,1672.11907729089
45,,141.0,150000.0,,1063.8297872340424,,1677.5398660156493
46,,201.0,150000.0,,746.2686567164179,,1619.9165899907107
49,,9.0,150000.0,,16666.666666666668,,2365.014629206397
49,,55.0,150000.0,,2727.2727272727275,,2462.5181619430905
50,,51.0,150000.0,,2941.176470588235,,2567.20410411657
51,,4.0,150000.0,,37500.0,,4333.508451942657
52,,85.0,150000.0,,1764.7058823529412,,4344.424158431439
52,,9.0,150000.0,,16666.666666666668,,5117.757491764771
53,,133.0,150000.0,,1127.8195488721803,,4757.4818025417135
54,,153.0,150000.0,,980.3921568627451,,4785.011439038147
55,101.0,153.0,150000.0,1485.148514851485,980.3921568627451,1485.148514851485,4804.38677810658
56,133.0,133.0,150000.0,1127.8195488721803,1127.8195488721803,1306.4840318618326,4830.657273622479
57,109.0,109.0,150000.0,1376.1467889908256,1376.1467889908256,1329.7049509048304,4799.464613072019
58,,55.0,150000.0,,2727.2727272727275,1329.7049509048304,4915.721010829757
58,,113.0,150000.0,,1327.4336283185842,1329.7049509048304,4845.7290558820505
59,47.0,101.0,150000.0,3191.4893617021276,1485.148514851485,1795.1510536041546,4833.7795850729
60,,133.0,150000.0,,1127.8195488721803,1795.1510536041546,4743.111738987098
61,101.0,,150000.0,1485.148514851485,,1733.1505458536208,4943.713566374127
62,69.0,4.0,150000.0,2173.913043478261,37500.0,1806.610962124394,6872.794743894198
64,,97.0,150000.0,,1546.3917525773195,1806.610962124394,6914.906485781615
65,93.0,9.0,150000.0,1612.9032258064517,16666.666666666668,1778.938428364688,7736.108426804383
67,261.0,,150000.0,574.7126436781609,,1628.4102052788721,8124.432858475937
68,165.0,,150000.0,909.0909090909091,,1548.4858390357651,7621.948516817659
69,117.0,,150000.0,1282.051282051282,,1521.8423833373167,7927.865753664217
70,,141.0,150000.0,,1063.8297872340424,1521.8423833373167,7810.53158595458
71,75.0,261.0,150000.0,2000.0,574.7126436781609,1565.3112575793791,5502.701126184466
72,75.0,165.0,150000.0,2000.0,909.0909090909091,1601.535319447764,5449.225190355588
73,49.0,117.0,150000.0,3061.2244897959185,1282.051282051282,1713.8191017822376,4487.686728817127
73,285.0,117.0,150000.0,526.3157894736842,1282.051282051282,1628.9974366173408,4497.326212140821
74,261.0,,150000.0,574.7126436781609,,1558.711783754729,4731.788482492691
75,9.0,,150000.0,16666.666666666668,,2570.812993875741,4999.745362894831
76,79.0,,150000.0,1898.73417721519,,2622.2073024319416,5297.5858101273425
77,77.0,285.0,612.0,7.9480519480519485,2.1473684210526316,2530.9940532957567,5191.893547006592
78,,261.0,612.0,,2.3448275862068964,2530.9940532957567,4982.283708569166
79,,9.0,612.0,,68.0,2530.9940532957567,4885.404198698507
81,51.0,4.0,83.0,1.6274509803921569,20.75,2318.3365925809744,4772.7581590945465
84,,225.0,83.0,,0.3688888888888889,2318.3365925809744,4686.031185249678
85,,217.0,1406.0,,6.47926267281106,2377.850026704509,4351.777476494187
85,,141.0,1406.0,,9.97163120567376,2393.5374869526822,1673.9183072945925
86,,261.0,1406.0,,5.3869731800766285,2393.5374869526822,1563.8465373376464
86,,177.0,1406.0,,7.943502824858757,2458.5903420482014,373.9377399203746
87,,261.0,1406.0,,5.3869731800766285,2629.8519509909324,349.36768880435477
88,,69.0,1406.0,,20.3768115942029,2801.9280551809347,328.8057589787203
89,,77.0,267.0,,3.4675324675324677,2970.8032521953405,309.6682162427681
89,,28.0,267.0,,9.535714285714286,2970.8032521953405,247.65091783404284
89,,4.0,267.0,,66.75,3092.153658719758,217.7707623235628
90,,9.0,267.0,,29.666666666666668,3248.1756099654376,166.0399245339015
93,,51.0,267.0,,5.235294117647059,3279.334129993691,90.93310171427592
95,,93.0,267.0,,2.870967741935484,3829.9377980976924,15.687200872549655
97,325.0,,3229.0,9.935384615384615,,3716.9823462851373,15.687200872549655
98,55.0,,3229.0,58.70909090909091,,395.3908311336219,15.687200872549655
99,85.0,75.0,3229.0,37.98823529411764,43.053333333333335,23.241642749407454,17.207541564815415
100,87.0,,3229.0,37.11494252873563,,29.07502086554419,18.093434102683812
101,109.0,22.0,854.0,7.834862385321101,38.81818181818182,25.534994452173677,20.238925528094104
102,97.0,,854.0,8.804123711340207,,23.144870060626037,17.253858373599986
103,87.0,,854.0,9.816091954022989,,24.31467591400187,17.020782265173317
104,97.0,9.0,854.0,8.804123711340207,94.88888888888889,22.375856888669162,23.322115598506645
105,79.0,,854.0,10.810126582278482,,21.09077574351464,24.525176521770618
106,101.0,,315.0,3.118811881188119,,19.293579357281992,25.644680007624224
106,129.0,,315.0,2.441860465116279,,17.761604912539653,27.332822243253187
109,357.0,,315.0,0.8823529411764706,,16.355000581592723,29.09548764492541
110,241.0,,5315.0,22.053941908713693,,16.79338068367895,31.466339091410287
112,193.0,,5315.0,27.53886010362694,,17.560914927960948,32.69850881332221
113,173.0,,5315.0,30.722543352601157,,18.438356822936964,36.352380856545935
114,157.0,,5315.0,33.853503184713375,,19.40180347054799,40.1833332238076
115,185.0,,5315.0,28.72972972972973,,19.95050501520574,35.75555542777553
116,193.0,,3813.0,19.756476683937823,,19.939725663468632,36.97333317999731
117,121.0,,3813.0,31.512396694214875,,20.548813612455277,44.907842945584875
