SysFN	SubFN	LCG_0	LCG_1	LCG_2	LCG_3
5060	0	0	0	8
5208	0	0	0	25
5216	0	0	0	27
5221	0	0	0	24
5296	0	0	0	27
5301	0	0	0	23
5628	0	0	0	26
5644	0	0	0	26
5738	0	0	0	26
5761	0	0	0	28
5766	0	0	0	20
5911	0	0	0	26
6268	0	0	0	32
6276	0	0	0	21
6324	0	0	0	18
6348	0	0	0	3
6356	0	0	0	13
6388	0	0	0	29
6396	0	0	0	28
6401	0	0	0	24
6556	0	0	0	25
6629	0	0	0	27
6637	0	0	0	28
6661	0	0	0	1
6711	0	0	0	30
6716	0	0	0	33
6748	0	0	0	27
6861	0	0	0	26
6866	0	0	0	22
6871	0	0	0	10
6978	0	0	0	19
6986	0	0	0	18
7018	0	0	0	26
7281	0	0	0	26
7418	0	0	0	26
7628	0	0	0	20
7652	0	0	0	26
7660	0	0	0	7
7728	0	0	0	26
7771	0	0	0	22
7919	0	0	0	26
7971	0	0	0	27
7976	0	0	0	24
8248	0	0	0	27
8264	0	0	0	30
8286	0	0	0	14
8438	0	0	0	27
8578	0	0	0	23
8586	0	0	0	1
8626	0	0	0	1
8758	0	0	0	26
8791	0	0	0	27
8796	0	0	0	23
8896	0	0	0	19
9229	0	0	0	8
9258	0	0	0	29
9458	0	0	0	27
9545	0	0	0	23
9546	0	0	0	14
9578	0	0	0	3
9768	0	0	0	26
9806	0	0	0	26
9811	0	0	0	23
10188	0	0	0	25
10195	0	0	0	19
230	0	0	0	27
300	0	0	0	8
548	0	0	0	27
596	0	0	0	22
601	0	0	0	4
858	0	0	0	26
941	0	0	0	21
1228	0	0	0	4
1236	0	0	0	17
1251	0	0	0	27
1256	0	0	0	25
1261	0	0	0	23
1538	0	0	0	4
1561	0	0	0	26
1566	0	0	0	21
1571	0	0	0	15
1606	0	0	0	26
1611	0	0	0	22
2168	0	0	0	4
2176	0	0	0	11
2271	0	0	0	26
2505	0	0	0	27
2511	0	0	0	21
2581	0	0	0	26
2586	0	0	0	22
2631	0	0	0	26
2636	0	0	0	22
3298	0	0	0	26
3481	0	0	0	24
3486	0	0	0	19
3608	0	0	0	26
3656	0	0	0	26
3661	0	0	0	22
4141	0	0	0	16
4328	0	0	0	26
4456	0	0	0	19
4628	0	0	0	26
4682	0	0	0	27
4776	0	0	0	23
4781	0	0	0	17
5346	0	0	0	26
5648	0	0	0	26
5696	0	0	0	1
5716	0	0	0	23
6376	0	0	0	26
6381	0	0	0	22
6386	0	0	0	10
6668	0	0	0	29
6691	0	0	0	14
6696	0	0	0	6
6742	0	0	0	26
6988	0	0	0	12
7336	0	0	0	13
7396	0	0	0	27
7618	0	0	0	15
7671	0	0	0	26
7676	0	0	0	21
7758	0	0	0	26
7938	0	0	0	4
7946	0	0	0	18
7978	0	0	0	11
7986	0	0	0	21
8428	0	0	0	26
8578	0	0	0	10
8626	0	0	0	24
8631	0	0	0	21
8708	0	0	0	26
8771	0	0	0	26
8787	0	0	0	4
9098	0	0	0	17
9114	0	0	0	6
9151	0	0	0	16
9272	0	0	0	27
9280	0	0	0	27
9286	0	0	0	17
9381	0	0	0	28
9386	0	0	0	25
9432	0	0	0	26
9451	0	0	0	26
9456	0	0	0	23
9466	0	0	0	20
9521	0	0	0	10
9564	0	0	0	26
9571	0	0	0	47
9577	0	0	0	47
9585	0	0	0	47
9590	0	0	0	31
9621	0	0	0	48
9626	0	0	0	49
9631	0	0	0	52
9636	0	0	0	52
9641	0	0	0	49
9646	0	0	0	44
9661	0	0	0	26
9666	0	0	0	23
9671	0	0	0	32
9676	0	0	0	49
9681	0	0	0	50
9686	0	0	0	52
9691	0	0	0	51
9696	0	0	0	47
9701	0	0	0	37
9712	0	0	0	27
9720	0	0	0	16
9749	0	0	0	23
9766	0	0	0	26
9771	0	0	0	22
9796	0	0	0	26
9801	0	0	0	22
9822	0	0	0	26
9836	0	0	0	29
9841	0	0	0	32
9846	0	0	0	31
9871	0	0	0	26
9876	0	0	0	20
9986	0	0	0	32
9996	0	0	0	26
10001	0	0	0	21
10021	0	0	0	26
10026	0	0	0	31
10031	0	0	0	25
10050	0	0	0	23
10056	0	0	0	27
10061	0	0	0	24
10071	0	0	0	23
10076	0	0	0	11
10086	0	0	0	26
10090	0	0	0	23
10101	0	0	0	26
10106	0	0	0	31
10111	0	0	0	18
10126	0	0	0	26
10131	0	0	0	23
10136	0	0	0	13
10146	0	0	0	26
10151	0	0	0	31
10156	0	0	0	25
10171	0	0	0	27
10176	0	0	0	31
10201	0	0	0	26
10206	0	0	0	22
10222	0	0	0	31
1	0	0	0	26
6	0	0	0	21
16	0	0	0	26
41	0	0	0	32
46	0	0	0	30
52	0	0	0	26
61	0	0	0	26
66	0	0	0	5
83	0	0	0	27
99	0	0	0	26
118	0	0	0	26
134	0	0	0	33
156	0	0	0	26
161	0	0	0	31
166	0	0	0	25
201	0	0	0	26
206	0	0	0	22
211	0	0	0	25
216	0	0	0	30
222	0	0	0	32
236	0	0	0	22
241	0	0	0	4
261	0	0	0	26
266	0	0	0	12
281	0	0	0	26
286	0	0	0	30
291	0	0	0	32
296	0	0	0	24
306	0	0	0	23
311	0	0	0	11
321	0	0	0	26
326	0	0	0	22
346	0	0	0	26
351	0	0	0	4
356	0	0	0	26
361	0	0	0	4
366	0	0	0	26
371	0	0	0	22
376	0	0	0	24
381	0	0	0	17
391	0	0	0	23
410	0	0	0	21
426	0	0	0	27
431	0	0	0	24
441	0	0	0	26
446	0	0	0	29
451	0	0	0	24
456	0	0	0	23
462	0	0	0	29
502	0	0	0	26
511	0	0	0	29
516	0	0	0	26
522	0	0	0	25
530	0	0	0	33
536	0	0	0	30
571	0	0	0	26
576	0	0	0	8
586	0	0	0	22
591	0	0	0	13
596	0	0	0	25
601	0	0	0	30
606	0	0	0	32
611	0	0	0	24
641	0	0	0	26
646	0	0	0	21
656	0	0	0	26
664	0	0	0	28
671	0	0	0	30
676	0	0	0	28
681	0	0	0	26
686	0	0	0	13
701	0	0	0	26
706	0	0	0	23
721	0	0	0	26
746	0	0	0	26
753	0	0	0	31
761	0	0	0	32
766	0	0	0	31
786	0	0	0	26
