TTI	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
1437	-	-	-	-	4	21	15	-	-
1439	-	-	-	-	6	16	10	-	-
1441	-	-	-	-	-	-	-	0	249
1442	-	-	-	-	6	16	10	-	-
1443	-	-	-	-	-	-	-	1	241
1446	-	-	-	-	-	-	-	0	241
1447	-	-	-	-	5	18	12	-	-
1449	-	-	-	-	6	17	11	-	-
1451	-	-	-	-	-	-	-	0	249
1452	-	-	-	-	5	18	12	-	-
1453	-	-	-	-	-	-	-	1	269
1456	-	-	-	-	-	-	-	0	249
1457	-	-	-	-	4	23	17	-	-
1459	-	-	-	-	5	18	12	-	-
1461	-	-	-	-	-	-	-	0	285
1462	-	-	-	-	5	19	13	-	-
1463	-	-	-	-	-	-	-	1	249
1466	-	-	-	-	-	-	-	0	269
1467	-	-	-	-	4	19	13	-	-
1396	0	0	0	0	-	-	-	-	-
1401	0	0	0	0	-	-	-	-	-
1402	0	0	0	0	-	-	-	-	-
1406	0	0	0	0	-	-	-	-	-
1411	0	0	0	0	-	-	-	-	-
1412	0	0	0	0	-	-	-	-	-
1416	0	0	0	0	-	-	-	-	-
1421	0	0	0	0	-	-	-	-	-
1423	0	0	0	0	-	-	-	-	-
1427	0	0	0	0	-	-	-	-	-
1431	0	0	0	0	-	-	-	-	-
1433	0	0	0	0	-	-	-	-	-
1436	0	0	0	0	-	-	-	-	-
1441	0	0	0	0	-	-	-	-	-
1443	0	0	0	0	-	-	-	-	-
1446	0	0	0	0	-	-	-	-	-
1451	0	0	0	0	-	-	-	-	-
1453	0	0	0	0	-	-	-	-	-
1456	0	0	0	0	-	-	-	-	-
1461	0	0	0	0	-	-	-	-	-
1463	0	0	0	0	-	-	-	-	-
1466	0	0	0	0	-	-	-	-	-
1469	-	-	-	-	5	18	12	-	-
1470	-	-	-	-	5	19	30	-	-
1471	0	0	0	0	-	-	-	0	217
1472	-	-	-	-	6	14	9	-	-
1473	0	0	0	0	-	-	-	1	249
1474	-	-	-	-	-	-	-	0	269
1476	0	0	0	0	-	-	-	0	217
1477	-	-	-	-	4	19	13	-	-
1479	-	-	-	-	6	17	11	-	-
1481	0	0	0	0	-	-	-	0	217
1482	-	-	-	-	4	20	14	-	-
1483	0	0	0	0	-	-	-	1	269
1486	0	0	0	0	-	-	-	0	233
1487	-	-	-	-	4	21	15	-	-
1489	-	-	-	-	5	17	11	-	-
1491	0	0	0	0	-	-	-	0	249
1492	-	-	-	-	4	19	13	-	-
1493	0	0	0	0	-	-	-	1	225
1496	0	0	0	0	-	-	-	0	217
1497	-	-	-	-	5	18	12	-	-
1499	-	-	-	-	6	16	10	-	-
1501	0	0	0	0	-	-	-	0	249
1502	-	-	-	-	5	19	13	-	-
1503	0	0	0	0	-	-	-	1	241
1506	0	0	0	0	-	-	-	0	269
1507	-	-	-	-	4	20	14	-	-
1511	0	0	0	0	-	-	-	0	233
1513	0	0	0	0	-	-	-	1	225
1516	0	0	0	0	-	-	-	0	249
1519	-	-	-	-	-	-	-	0	233
1521	0	0	0	0	-	-	-	0	253
1523	0	0	0	0	-	-	-	1	253
1524	-	-	-	-	-	-	-	0	249
1526	0	0	0	0	-	-	-	0	253
1529	-	-	-	-	8	12	7	-	-
1531	0	0	0	0	-	-	-	0	241
1532	-	-	-	-	8	12	7	-	-
1533	0	0	0	0	-	-	-	1	225
1536	0	0	0	0	-	-	-	0	225
1537	-	-	-	-	4	19	13	-	-
1539	-	-	-	-	6	18	12	-	-
1541	0	0	0	0	-	-	-	0	217
1543	0	0	0	0	-	-	-	1	293
1544	-	-	-	-	5	17	11	-	-
1547	-	-	-	-	5	17	11	-	-
1548	0	0	0	0	-	-	-	0	225
1549	-	-	-	-	6	16	10	-	-
1551	0	0	0	0	-	-	-	0	225
1552	-	-	-	-	5	17	30	-	-
1553	0	0	0	0	-	-	-	1	241
1556	-	-	-	-	9	12	7	0	225
1557	-	-	-	-	8	12	7	-	-
1559	-	-	-	-	8	12	7	-	-
1560	0	0	0	0	-	-	-	0	253
1561	0	0	0	0	-	-	-	0	225
1562	-	-	-	-	3	12	7	-	-
1563	-	-	-	-	-	-	-	1	225
1566	-	-	-	-	-	-	-	0	85
1567	-	-	-	-	4	21	15	-	-
1569	-	-	-	-	5	18	12	-	-
1571	-	-	-	-	-	-	-	0	249
1572	-	-	-	-	8	14	9	-	-
1573	-	-	-	-	-	-	-	1	249
1576	-	-	-	-	-	-	-	0	285
1577	-	-	-	-	4	21	15	-	-
1579	-	-	-	-	5	17	11	-	-
