SysFN	SubFN	Num_RBs	TBS_Index	MCS_Index	Redund_Ver
5057	15	0	0	0
5058	15	0	0	0
5059	15	0	0	0
5060	15	0	0	0
5061	15	0	0	0
5062	15	0	0	0
5063	15	0	0	0
5124	8	13	8	0
5154	5	17	11	0
5164	6	17	11	0
5174	5	19	13	0
5204	5	18	12	0
5212	10	19	13	0
5217	5	18	12	0
5220	9	19	13	0
5222	5	18	12	0
5227	3	28	20	0
5232	3	24	18	0
5235	3	28	30	2
5237	5	18	12	0
5242	4	19	13	0
5247	3	25	19	0
5252	4	19	13	0
5269	5	18	12	0
5284	4	21	15	0
5291	4	23	17	0
5292	4	23	17	0
5297	4	20	14	0
5300	6	24	18	0
5302	3	23	17	0
5307	6	16	10	0
5308	6	24	30	2
5312	6	14	9	0
5317	6	16	10	0
5322	6	14	9	0
5327	5	18	12	0
5332	6	16	10	0
5337	5	17	11	0
5342	6	16	10	0
5347	4	22	16	0
5352	5	18	12	0
5355	4	22	30	2
5357	6	14	9	0
5362	6	14	9	0
5367	5	19	13	0
5374	6	14	9	0
5377	8	14	9	0
5382	8	14	9	0
5389	4	21	15	0
5398	3	25	19	0
5406	3	25	30	2
5412	9	11	6	0
5417	4	21	15	0
5425	4	21	30	2
5426	6	14	9	0
5444	4	21	15	0
5474	9	11	6	0
5477	9	11	6	0
5479	9	11	6	0
5482	9	11	6	0
5487	3	25	19	0
5492	6	16	10	0
5495	3	25	30	2
5497	6	14	9	0
5502	8	13	8	0
5507	6	16	10	0
5512	4	20	14	0
5517	4	21	15	0
5520	4	20	30	2
5522	6	14	9	0
5527	4	19	13	0
5532	4	21	15	0
5537	6	14	9	0
5540	4	21	30	2
5548	5	12	7	0
5555	4	19	13	0
5576	6	14	9	0
5577	6	14	9	0
5582	6	14	9	0
5587	5	18	12	0
5592	6	14	9	0
5597	6	14	9	0
5602	6	16	10	0
5607	4	23	17	0
5612	3	25	19	0
5624	3	25	19	0
5632	3	25	30	2
5640	16	14	9	0
5648	8	24	18	0
5660	4	21	15	0
5662	4	21	15	0
5667	4	21	15	0
5672	4	22	16	0
5675	4	20	14	0
5677	4	23	17	0
5680	4	22	30	2
5682	8	13	8	0
5685	4	23	30	2
5686	6	16	10	0
5694	4	19	13	0
5698	4	19	13	0
5713	4	19	13	0
5721	4	19	30	2
5724	9	12	7	0
5734	4	19	13	0
5742	10	20	14	0
5751	4	19	13	0
5752	4	19	13	0
5757	4	19	13	0
5758	5	18	12	0
5762	4	19	13	0
5765	6	19	13	0
5767	5	18	12	0
5770	4	19	30	2
5773	6	19	30	2
5775	5	18	30	2
5778	12	10	5	0
5784	5	18	12	0
5787	6	14	9	0
5792	8	14	9	0
5797	4	21	15	0
5802	8	14	9	0
5807	6	14	9	0
5812	9	12	7	0
5817	2	2	1	0
5818	8	12	7	0
5822	4	19	13	0
5827	4	20	14	0
5832	4	19	13	0
5837	5	19	13	0
5840	4	19	30	2
5846	9	11	6	0
5847	9	11	6	0
5852	5	18	12	0
5857	5	17	11	0
5862	4	21	15	0
5867	8	14	9	0
5870	4	21	30	2
5872	8	12	7	0
5877	5	19	13	0
5882	6	16	10	0
5885	5	19	30	2
5887	9	11	6	0
5892	9	11	6	0
